CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.113281 1659348251.8698
MEM 20.621094 1659348251.9701
MEM 20.621094 1659348252.0704
MEM 20.621094 1659348252.1707
MEM 20.621094 1659348252.2710
MEM 306.414062 1659348252.3714
MEM 564.414062 1659348252.4717
MEM 664.414062 1659348252.5721
MEM 756.414062 1659348252.6725
MEM 850.414062 1659348252.7730
MEM 948.414062 1659348252.8734
MEM 1040.414062 1659348252.9738
MEM 1136.414062 1659348253.0742
MEM 1232.414062 1659348253.1745
MEM 1326.414062 1659348253.2749
MEM 1536.414062 1659348253.3753
MEM 1748.414062 1659348253.4757
MEM 1844.414062 1659348253.5760
MEM 1938.414062 1659348253.6764
MEM 2178.414062 1659348253.7768
MEM 2548.414062 1659348253.8771
MEM 2788.414062 1659348253.9774
MEM 3078.414062 1659348254.0778
MEM 3342.414062 1659348254.1781
MEM 3626.414062 1659348254.2785
MEM 3768.414062 1659348254.3789
MEM 3860.414062 1659348254.4793
MEM 3954.414062 1659348254.5798
MEM 4046.414062 1659348254.6801
MEM 4208.347656 1659348254.7805
MEM 4600.320312 1659348254.8808
MEM 4842.183594 1659348254.9812
MEM 5077.050781 1659348255.0815
MEM 5325.582031 1659348255.1819
MEM 5557.804688 1659348255.2822
MEM 5816.390625 1659348255.3825
MEM 6079.359375 1659348255.4829
MEM 6341.039062 1659348255.5832
MEM 6599.367188 1659348255.6836
MEM 6841.968750 1659348255.7839
MEM 7085.343750 1659348255.8843
MEM 7336.710938 1659348255.9846
MEM 7591.539062 1659348256.0851
MEM 7835.281250 1659348256.1855
MEM 8056.417969 1659348256.2860
MEM 4470.414062 1659348256.3864
MEM 5968.414062 1659348256.4869
MEM 7368.414062 1659348256.5874
MEM 8212.414062 1659348256.6877
MEM 8212.414062 1659348256.7880
MEM 8212.414062 1659348256.8883
MEM 8212.414062 1659348256.9887
MEM 8212.414062 1659348257.0890
MEM 8212.414062 1659348257.1894
MEM 8212.414062 1659348257.2898
MEM 8212.414062 1659348257.3901
MEM 8212.414062 1659348257.4905
MEM 8212.414062 1659348257.5908
MEM 8212.414062 1659348257.6911
MEM 8212.414062 1659348257.7913
MEM 8212.414062 1659348257.8917
MEM 8212.414062 1659348257.9920
MEM 8212.414062 1659348258.0922
MEM 8212.414062 1659348258.1926
MEM 8212.414062 1659348258.2930
MEM 8212.414062 1659348258.3933
MEM 8212.414062 1659348258.4936
MEM 8212.414062 1659348258.5938
MEM 8212.414062 1659348258.6941
MEM 8212.414062 1659348258.7944
MEM 8212.414062 1659348258.8947
MEM 8212.414062 1659348258.9951
MEM 8212.414062 1659348259.0954
MEM 8212.414062 1659348259.1957
MEM 8212.414062 1659348259.2960
MEM 8212.414062 1659348259.3963
MEM 8212.414062 1659348259.4966
MEM 8212.414062 1659348259.5969
MEM 8212.414062 1659348259.6972
MEM 8212.414062 1659348259.7976
MEM 8212.414062 1659348259.8979
MEM 8212.414062 1659348259.9982
MEM 8212.414062 1659348260.0985
MEM 8212.414062 1659348260.1988
MEM 8212.414062 1659348260.2991
MEM 8212.414062 1659348260.3994
MEM 8212.414062 1659348260.4997
MEM 8212.414062 1659348260.6000
MEM 8212.414062 1659348260.7004
MEM 8212.414062 1659348260.8007
MEM 8212.414062 1659348260.9010
MEM 8212.414062 1659348261.0013
MEM 8212.414062 1659348261.1016
MEM 8212.414062 1659348261.2020
MEM 8212.414062 1659348261.3023
MEM 8212.414062 1659348261.4026
MEM 8212.414062 1659348261.5029
MEM 8212.414062 1659348261.6032
MEM 8212.414062 1659348261.7035
MEM 8212.414062 1659348261.8038
MEM 8212.414062 1659348261.9042
MEM 8212.414062 1659348262.0045
MEM 8212.414062 1659348262.1048
MEM 8212.414062 1659348262.2052
MEM 8212.414062 1659348262.3055
MEM 8212.414062 1659348262.4058
MEM 8212.414062 1659348262.5061
MEM 8212.414062 1659348262.6064
MEM 8212.414062 1659348262.7068
MEM 8212.414062 1659348262.8071
MEM 8212.414062 1659348262.9075
MEM 8212.414062 1659348263.0078
MEM 8212.414062 1659348263.1080
MEM 8212.414062 1659348263.2084
MEM 8212.414062 1659348263.3087
MEM 8212.414062 1659348263.4090
MEM 8212.414062 1659348263.5092
MEM 8212.414062 1659348263.6095
MEM 8375.554688 1659348263.7099
MEM 8631.480469 1659348263.8102
MEM 8880.613281 1659348263.9106
MEM 9128.628906 1659348264.0109
MEM 9379.480469 1659348264.1114
MEM 9639.398438 1659348264.2117
