CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.171875 1659420080.8024
MEM 34.019531 1659420080.9027
MEM 110.738281 1659420081.0030
MEM 196.738281 1659420081.1034
MEM 282.738281 1659420081.2038
MEM 370.738281 1659420081.3042
MEM 458.738281 1659420081.4046
MEM 570.687500 1659420081.5049
MEM 1002.746094 1659420081.6052
MEM 1059.398438 1659420081.7056
MEM 1059.398438 1659420081.8059
MEM 1059.398438 1659420081.9062
MEM 1059.398438 1659420082.0066
MEM 1059.398438 1659420082.1070
MEM 1059.398438 1659420082.2073
MEM 1059.398438 1659420082.3077
MEM 1059.398438 1659420082.4080
MEM 1410.753906 1659420082.5083
MEM 1450.500000 1659420082.6087
MEM 547.613281 1659420082.7091
MEM 547.613281 1659420082.8094
MEM 547.613281 1659420082.9097
MEM 547.613281 1659420083.0102
MEM 364.738281 1659420083.1106
MEM 922.746094 1659420083.2110
MEM 1059.441406 1659420083.3113
MEM 1059.441406 1659420083.4116
MEM 1059.441406 1659420083.5120
MEM 1059.441406 1659420083.6123
MEM 1059.441406 1659420083.7126
MEM 1059.441406 1659420083.8129
MEM 1059.441406 1659420083.9132
MEM 1060.730469 1659420084.0135
MEM 1512.753906 1659420084.1139
MEM 547.613281 1659420084.2142
MEM 547.613281 1659420084.3146
MEM 547.613281 1659420084.4150
MEM 547.613281 1659420084.5154
MEM 547.613281 1659420084.6165
MEM 222.738281 1659420084.7169
MEM 770.746094 1659420084.8172
MEM 1059.441406 1659420084.9175
MEM 1059.441406 1659420085.0178
MEM 1059.441406 1659420085.1181
MEM 1059.441406 1659420085.2184
MEM 1059.441406 1659420085.3187
MEM 1059.441406 1659420085.4190
MEM 1059.441406 1659420085.5193
MEM 1059.441406 1659420085.6196
MEM 1530.753906 1659420085.7200
MEM 547.613281 1659420085.8204
MEM 547.613281 1659420085.9208
MEM 547.613281 1659420086.0211
MEM 547.613281 1659420086.1214
MEM 547.613281 1659420086.2217
MEM 524.738281 1659420086.3221
MEM 820.738281 1659420086.4225
MEM 1059.441406 1659420086.5229
MEM 1059.441406 1659420086.6232
MEM 1059.441406 1659420086.7235
MEM 1059.441406 1659420086.8239
MEM 1059.441406 1659420086.9243
MEM 1059.441406 1659420087.0246
MEM 1059.441406 1659420087.1249
MEM 1328.753906 1659420087.2252
MEM 1306.500000 1659420087.3256
MEM 547.613281 1659420087.4260
MEM 547.613281 1659420087.5264
MEM 547.613281 1659420087.6267
MEM 547.613281 1659420087.7271
MEM 166.738281 1659420087.8277
MEM 740.746094 1659420087.9280
MEM 1059.441406 1659420088.0284
MEM 1059.441406 1659420088.1288
MEM 1059.441406 1659420088.2291
MEM 1059.441406 1659420088.3294
MEM 1059.441406 1659420088.4297
MEM 1059.441406 1659420088.5300
MEM 1059.441406 1659420088.6303
MEM 1059.441406 1659420088.7306
MEM 1130.386719 1659420088.8310
MEM 547.613281 1659420088.9313
MEM 547.613281 1659420089.0317
MEM 547.613281 1659420089.1320
MEM 547.613281 1659420089.2324
MEM 547.613281 1659420089.3327
MEM 370.738281 1659420089.4331
MEM 986.746094 1659420089.5335
MEM 1059.441406 1659420089.6338
MEM 1059.441406 1659420089.7342
MEM 1059.441406 1659420089.8345
MEM 1059.441406 1659420089.9348
MEM 1059.441406 1659420090.0352
MEM 1059.441406 1659420090.1355
MEM 1059.441406 1659420090.2358
MEM 1059.441406 1659420090.3361
MEM 1466.753906 1659420090.4366
MEM 1510.500000 1659420090.5370
MEM 547.613281 1659420090.6373
MEM 547.613281 1659420090.7376
MEM 547.613281 1659420090.8379
MEM 547.613281 1659420090.9384
MEM 462.738281 1659420091.0389
MEM 650.738281 1659420091.1393
MEM 1059.441406 1659420091.2396
MEM 1059.441406 1659420091.3399
MEM 1059.441406 1659420091.4402
MEM 1059.441406 1659420091.5405
MEM 1059.441406 1659420091.6408
MEM 1059.441406 1659420091.7411
MEM 1059.441406 1659420091.8415
MEM 1306.753906 1659420091.9419
MEM 1142.500000 1659420092.0424
MEM 547.613281 1659420092.1428
MEM 547.613281 1659420092.2431
MEM 547.613281 1659420092.3435
MEM 547.613281 1659420092.4438
MEM 62.636719 1659420092.5443
MEM 566.734375 1659420092.6446
MEM 884.738281 1659420092.7451
MEM 1059.441406 1659420092.8454
MEM 1059.441406 1659420092.9458
MEM 1059.441406 1659420093.0461
MEM 1059.441406 1659420093.1465
MEM 1059.441406 1659420093.2468
MEM 1059.441406 1659420093.3471
MEM 1059.441406 1659420093.4474
MEM 1390.753906 1659420093.5478
MEM 1378.500000 1659420093.6482
MEM 547.613281 1659420093.7485
MEM 547.613281 1659420093.8488
MEM 547.613281 1659420093.9492
MEM 547.613281 1659420094.0495
MEM 294.738281 1659420094.1500
MEM 848.746094 1659420094.2503
MEM 1059.445312 1659420094.3507
MEM 1059.445312 1659420094.4510
MEM 1059.445312 1659420094.5513
MEM 1059.445312 1659420094.6516
MEM 1059.445312 1659420094.7520
MEM 1059.445312 1659420094.8523
MEM 1059.445312 1659420094.9526
MEM 1059.445312 1659420095.0529
MEM 1212.500000 1659420095.1533
MEM 547.613281 1659420095.2536
MEM 547.613281 1659420095.3540
MEM 547.613281 1659420095.4544
MEM 547.613281 1659420095.5547
MEM 172.738281 1659420095.6552
MEM 748.746094 1659420095.7557
MEM 1059.449219 1659420095.8560
MEM 1059.449219 1659420095.9563
MEM 1059.449219 1659420096.0566
MEM 1059.449219 1659420096.1571
MEM 1059.449219 1659420096.2574
MEM 1059.449219 1659420096.3577
MEM 1059.449219 1659420096.4581
MEM 1059.449219 1659420096.5584
MEM 1420.753906 1659420096.6587
MEM 1378.500000 1659420096.7590
MEM 547.613281 1659420096.8594
MEM 547.613281 1659420096.9598
MEM 547.613281 1659420097.0601
MEM 547.613281 1659420097.1605
